,index,default_flag,number_of_stars,number_of_planets,planet_orbital_period,orbit_semimajor_axis,planet_radius,stellar_temperature,stellar_radius,stellar_mass,system_distance,habitable
22,47.0,1.0,1.0,3.0,1078.0,2.1,5.083599999999999,5872.0,1.21,1.06,13.7967,0.0
23,52.0,1.0,1.0,3.0,2391.0,3.6,5.314749999999998,5872.0,1.21,1.06,13.7967,0.0
24,53.0,1.0,1.0,3.0,14002.0,11.6,5.462769999999998,5872.0,1.21,1.06,13.7967,0.0
25,56.0,1.0,3.0,1.0,18717.685125000004,13.2,9.667229999999993,6165.5747,1.7424999999999984,1.75,29.7575,0.0
26,59.0,1.0,1.0,1.0,4.230785,0.0527,11.970550000000005,5758.0,1.18,1.03,15.4614,0.0
27,66.0,1.0,2.0,5.0,14.6516,0.1134,3.719510000000001,5172.0,0.94,0.91,12.5855,0.0
28,77.0,1.0,2.0,5.0,44.3989,0.2373,3.655980000000001,5172.0,0.94,0.91,12.5855,0.0
29,89.0,1.0,2.0,5.0,5574.2,5.957,5.553599999999999,5172.0,0.94,0.91,12.5855,0.0
30,103.0,1.0,2.0,5.0,0.7365474,0.01544,1.875,5172.0,0.94,0.91,12.5855,0.0
31,110.0,1.0,2.0,5.0,259.88,0.7708,4.0128400000000015,5172.0,0.94,0.91,12.5855,0.0
32,114.0,1.0,1.0,1.0,934.3,2.11,12.76444,4938.0,5.2,1.44,54.6599,0.0
33,118.0,1.0,1.0,3.0,4.215,0.050201,4.178349999999997,5577.0,0.96,0.94,8.50332,0.0
34,119.0,1.0,1.0,3.0,38.021,0.2175,3.9318000000000013,5577.0,0.96,0.94,8.50332,0.0
35,121.0,1.0,1.0,3.0,123.01,0.476,4.285120000000001,5577.0,0.96,0.94,8.50332,0.0
36,123.0,1.0,1.0,2.0,735.1,1.758,9.157029999999997,4826.0,4.87,1.34,19.8101,0.0
37,125.0,1.0,1.0,2.0,996.0,2.153,9.157029999999997,4826.0,4.87,1.34,19.8101,0.0
38,126.0,1.0,1.0,1.0,116.688,0.481,10.991349999999997,5495.0,1.89,1.09,17.9011,0.0
39,132.0,1.0,2.0,1.0,691.9,2.1,15.743760000000007,4846.0,10.5,2.49,82.9613,0.0
40,134.0,1.0,1.0,1.0,93.4,0.49,13.05272,4847.0,10.3,1.44,162.552,0.0
41,136.0,1.0,1.0,1.0,952.7,2.5,15.757260000000008,4785.0,11.0,2.4,101.26,0.0
42,137.0,1.0,3.0,1.0,181.4,0.7,14.385190000000009,4665.0,11.0,1.4,44.0304,0.0
43,138.0,1.0,1.0,1.0,5451630.0,260.0,18.270800000000012,4581.57,11.488100000000001,1.8863999999999999,50.0475,0.0
44,139.0,1.0,1.0,2.0,8.463,0.0645,4.07,3700.0,0.75,0.5,9.7221,0.0
45,141.0,1.0,1.0,2.0,18.859019,0.1101,3.24,3700.0,0.75,0.5,9.7221,0.0
46,142.0,1.0,1.0,1.0,481.9,1.3,15.516680000000001,4095.0,32.35,1.14,1070.63,0.0
47,144.0,1.0,1.0,1.0,268.94,0.78,9.367109999999997,4864.0,0.86,0.49,49.352,0.0
48,145.0,1.0,1.0,1.0,153.22,0.576,13.857820000000002,4649.0,8.95,1.08,768.045,0.0
49,146.0,1.0,1.0,1.0,137.48,0.539,12.59085,4796.0,14.7,1.1,426.42,0.0
50,148.0,1.0,1.0,2.0,379.63,1.05,10.954799999999999,4259.0,71.02,10.83,1539.71,0.0
51,149.0,1.0,1.0,2.0,621.99,2.01,11.150089999999999,4137.0,49.0,2.8,1539.71,0.0
52,150.0,1.0,1.0,1.0,578.2,1.3,15.350959999999997,4296.0,17.3,0.8,1322.51,0.0
53,151.0,1.0,1.0,1.0,41.6855,0.24202840000000006,2.578,5766.0,1.08,1.67,179.461,0.0
54,154.0,1.0,1.0,1.0,307.88,0.83,12.381789999999997,5004.0,3.3581,0.81,53.622,0.0
55,155.0,1.0,1.0,1.0,392.6,1.0,14.395110000000003,4414.0,11.0,0.74,871.493,0.0
56,156.0,1.0,1.0,1.0,733.0,1.7,14.453760000000003,4534.0,10.33,1.09,666.589,0.0
